name,id,address,date,kWh,public_url,installationDate,uid
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 12:00:00 PM,1.639,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 01:00:00 PM,1.972,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 02:00:00 PM,1.992,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 03:00:00 PM,2.115,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 04:00:00 PM,2.046,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 05:00:00 PM,1.581,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 06:00:00 PM,0.608,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/13 07:00:00 PM,0.004,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-13 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 07:00:00 AM,0.043,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 08:00:00 AM,0.806,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 09:00:00 AM,1.422,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 09:00:00
